https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1608925440,2020-12-25 19:44:00,BTC/EUR,20081.08,20093.21,20072.51,20072.51,2.47124867,49604.1636410617
1608925380,2020-12-25 19:43:00,BTC/EUR,20078.23,20083.82,20057.44,20083.82,5.64666896,113406.6829922272
1608925320,2020-12-25 19:42:00,BTC/EUR,20051.58,20078.23,20051.58,20078.23,2.17103166,43590.4730067618
1608925260,2020-12-25 19:41:00,BTC/EUR,20032.57,20062.35,20029.85,20051.58,4.20854068,84387.8901282744
1608925200,2020-12-25 19:40:00,BTC/EUR,20023.99,20043.78,20012.96,20032.57,0.28536520,5716.5983445639995
1608925140,2020-12-25 19:39:00,BTC/EUR,20033.43,20049.00,20030.83,20030.83,0.49811659,9977.6887344697
1608925080,2020-12-25 19:38:00,BTC/EUR,20029.54,20048.15,20029.54,20032.17,0.08965862,1796.0567178053998
1608925020,2020-12-25 19:37:00,BTC/EUR,20026.35,20033.73,20020.73,20029.54,0.41929780,8398.342057012
1608924960,2020-12-25 19:36:00,BTC/EUR,20022.24,20036.96,20022.24,20036.96,0.50082105,10034.931346008
1608924900,2020-12-25 19:35:00,BTC/EUR,20032.01,20050.00,20032.00,20043.58,0.78202633,15674.607307461401
1608924840,2020-12-25 19:34:00,BTC/EUR,20033.57,20051.71,20033.56,20042.87,0.39784784,7974.0125369008
1608924780,2020-12-25 19:33:00,BTC/EUR,20025.85,20055.25,20025.85,20054.25,1.88778346,37858.081452705
1608924720,2020-12-25 19:32:00,BTC/EUR,20017.58,20042.80,20012.78,20042.80,0.81540799,16343.059261972
1608924660,2020-12-25 19:31:00,BTC/EUR,19994.40,20015.69,19994.40,20015.69,2.28690468,45773.9751344292
1608924600,2020-12-25 19:30:00,BTC/EUR,19977.29,19999.98,19977.29,19987.45,1.98126805,39600.4960859725
1608924540,2020-12-25 19:29:00,BTC/EUR,19984.82,19987.00,19965.07,19979.29,1.80728042,36108.179622501804
1608924480,2020-12-25 19:28:00,BTC/EUR,19972.96,19993.19,19958.82,19990.93,0.22500828,4498.124774900401
1608924420,2020-12-25 19:27:00,BTC/EUR,19985.19,19995.57,19955.63,19955.63,0.48274867,9633.553841512101
1608924360,2020-12-25 19:26:00,BTC/EUR,19986.35,20000.00,19985.19,19998.32,0.06604618,1320.8126424175998
1608924300,2020-12-25 19:25:00,BTC/EUR,19995.40,20003.64,19981.22,19985.38,0.27702733,5536.496460435401
1608924240,2020-12-25 19:24:00,BTC/EUR,19992.32,19992.32,19951.37,19972.26,1.17242779,23416.032653105398
